smiles,Tm,num_atms,dipole,quadrupole
OC(=O)C1=NC=CC2=CC=CC=C12,435.15,20,2.404621386,8.73263686695
FC1=CC2=C(CCCC2=O)C=C1,330.15,21,4.0141054022,4.55301562703
CC(=NNC(N)=O)C1=CC2(C)CCC1C2(C)C,491.15,38,4.67014919783,26.8885186288
FC(F)(F)C1=CC=CN=C1S,454.15,15,2.92240096154,4.54815486324
CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,338.15,47,1.7202992792,5.42266272047
CNC1=CC=C(C=C1)C(O)=O,435.15,20,7.34644035571,19.2655782592
CC1=C(C)C(NN=C(C#N)C2=NC(=CS2)C2=CC=C(Cl)C=C2)=CC=C1,469.15,40,3.62681547366,36.2094723647
CC(C)(O)C12CC3CC(CC(C3)C1)C2,348.15,36,1.39711624069,4.63040310772
SC1=NC(C2=CC=CC=C2)=C(N=N1)C1=CC=CC=C1,496.15,30,4.80997549786,12.3074657574
CCN1CCNC(=O)C1=O,382.15,20,6.89064134678,19.1663211222
OC(=O)CC1=CSC(CC2=CC=CC=C2)=N1,402.15,27,6.38335256742,25.1375071908
CN(C1=C(C=CC=C1)C(O)=O)S(C)(=O)=O,420.15,26,5.10028031092,6.67911461647
NC1=C(OC(F)F)C=CC(=C1)[N+]([O-])=O,349.15,20,4.35905638642,27.8288807888
CC1=C(N=NC2=C(C)C=CC=C2)C(C)=C(C#N)C(=S)N1,451.15,34,9.59840308124,42.3136099726
OC(=O)C1=CC(F)=CC(Br)=C1,416.15,15,1.22059563329,7.74072372004
CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1,467.15,36,10.6526919495,25.2714609229
CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C,490.15,38,0.154464008753,10.4223879874
O=C1NN=C(N2CCNCC2)C(=O)N1,424.15,25,3.04882840941,11.0691538791
OC(=O)C1C(N(CC2=CC=C(F)C=C2)C(=O)C2=C1C=CC=C2)C1=CC=NC=C1,517.15,45,2.77095321686,22.1161331371
NC1=NC2=C(N=CN2)C(=O)N1,633.15,16,6.48848274021,21.8945928715
OC(=O)C1=C(N=CC=N1)C(=O)NCC1=CC=C(F)C=C1,444.15,30,4.82741756636,30.1257115466
OC(=O)CC(CC(O)=O)C1=CC=CC=C1,414.65,27,3.76609227317,29.1429027044
COC1=CSC=C1C(N)=O,393.15,17,5.08588105347,5.18768614991
CCOC1=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=CC=C1C(O)=O,403.65,69,7.08764318303,60.5382212658
CCC(CC)C=C,146.15,21,0.386676531483,1.6923597549
C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,415.15,42,4.27511843228,22.3878720396
CC(C(NC(=O)OC(C)(C)C)C1=CC=CC=C1)C(O)=O,345.15,41,2.50501863267,23.8647807449
OCC1=NC=CN1CC(F)(F)F,363.15,19,2.41499899172,5.7678373096
CC1(C)OC2(C)CCC1C(=O)OC2(C1=CC=CC=C1)C1=CC=CC=C1,407.15,49,3.80310714022,14.5123202049
O=C1NC(=O)C2=C(S1)C=CC=C2,566.15,17,3.75850309166,11.3011158953
CN1C(=NC2=C1C=CC=C2)C(=CC1=CC=C(F)C=C1)C#N,406.15,33,1.94721642608,13.8036146625
CC1=C(O)C(C(O)=O)=C(CO)C=N1,521.15,22,6.18556335753,11.2585720915
CC1=NC2=C(N1)C=CN=C2,450.15,17,5.51319030236,3.83160822632
CN(C)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)N(C)C,450.15,40,4.97185247368,37.5884077928
NC1=CC(Cl)=C(OCC(F)(F)F)C(Cl)=C1,363.15,21,5.97156626858,7.54470683857
CC1=NN=C(SC2=CC(C)=C(N)C=C2)S1,416.15,26,1.71411391395,21.2572737358
CN1C(C(CCC1=O)C(N)=O)C1=CC=CS1,453.15,30,6.52553117378,10.7184678817
CCCOCC,146.15,18,1.16408775442,3.24600048829
O=CC1=CC=CC=C1OCCN1CCOCC1,317.15,34,2.972035666,16.6493580858
N#CC=CC1=CN=CC=C1,378.15,16,4.34618242944,27.6106262948
CC(SC1=CC=C(C=C1)C#N)C(O)=O,388.15,23,5.44596911578,18.9988247776
O=CC1=CC(OC2=CC=CC=C2)=CC=C1,286.15,25,3.02779635709,24.639032368
CN1N=C(C)C2=C1N=C(NN)C=C2C,475.15,27,1.4608308629,10.9986071418
CCCCCCCCCCCCCCC(C)=C,275.15,51,0.598455060969,2.91991765295
NC1CCCCC1NC(=O)C1=CC=CC=C1,398.15,34,3.45699279143,17.7690494251
OC(=O)C(NC(=O)OCC1=CC=CC=C1)C1=CC=CC=C1,404.15,36,3.52465485828,15.3512929201
CN1N=C(C)C2=C1SC(=C2)C(Cl)=O,439.15,20,4.6125919102,23.1054882835
BrC1C2C(Br)C(=O)C(Br)C(C(Br)C1=O)C1=CC=CC=C21,353.15,30,6.25041955552,23.8293969235
CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2OCC(O)=O,483.15,27,4.34539452869,5.0150211834
OC(=O)C1=CC(F)=C(C=C1)N1CCCC1,543.15,27,7.71695882651,33.784327105
COC1=CC=C(OCC(O)CN)C=C1,384.15,29,2.39314992844,12.6044542754
NC1=CC(=CC=C1)N1C=CN=C1,386.15,21,5.00342570346,12.5684872053
CSC(=O)C1=C2SN=NC2=CC=C1,406.15,19,4.49976922297,8.20917154224
NC1=CC=C(C=C1)C1=CC2=C(O1)C=CC=C2,555.15,27,3.10233531553,16.9483917461
ClC(Cl)(Cl)[C@H]1OC(=O)[C@@H]2CCCN12,383.15,21,4.38444320068,10.0040023925
CC(=O)NC1=CC=C(N)C=C1,438.15,21,5.38637608137,14.3594036217
CN1CCC(C(O)=O)C2=C1C=CC=C2,373.15,27,4.75557088687,12.7291599955
N=C1NC=NN1C1=CC=CC=C1,422.15,20,1.52862153262,20.9817954558
CC1=NC(=NC=C1)C1=CC=C(N)C=C1,392.15,25,1.23089608822,18.3960749955
CC(CC(O)=O)CC(O)=O,359.65,20,3.05853881126,18.8188386355
CC1=NNC=C1C(=O)NN,473.15,18,3.88333102632,8.24962826375
CC1=C2C(=NO1)C(=NN=C2C)C1=CC=CC=C1,453.15,28,4.08661107643,26.2871141969
